,index,pnu,yyyymm,x,y
0,0,1168010300111920004,"(2018,2)",127.0496008670528,37.47387586682765
1,1,1168010300111780007,"(2016,8)",127.0532291258045,37.47450307511304
2,7,1168010300111800006,"(2016,2)",127.0538341380706,37.47472577373177
3,8,1168010300112300002,"(2019,10)",127.0476708175195,37.47694936053396
4,9,1168010300112330015,"(2017,11)",127.0473312011016,37.47726880721241
5,11,1168010300111960010,"(2017,12)",127.0488273016815,37.47496467095215
6,13,1168010300111740002,"(2018,1)",127.0519406719914,37.47394135989331
7,15,1168010300112340001,"(2017,4)",127.0466197129831,37.47770048204379
8,16,1168010300112330021,"(2015,1)",127.0469424292054,37.47764389304143
9,17,1168010300111780009,"(2015,3)",127.0530089553502,37.47471766935997
10,18,1168010300112160000,"(2018,2)",127.0485984747475,37.47852076446863
11,19,1168010300111960006,"(2019,3)",127.0492953236456,37.47475512971271
12,20,1168010300111960007,"(2019,11)",127.0491477053935,37.47465804361072
13,25,1168010300111810001,"(2018,6)",127.0539670337871,37.47516430484488
14,26,1168010300112540011,"(2015,9)",127.0475361029798,37.48024078387339
15,28,1168010300112320008,"(2016,2)",127.0476564436434,37.47737935827876
16,32,1168010300112340014,"(2015,2)",127.0467002876032,37.47745293342858
17,33,1168010300112350006,"(2016,6)",127.046773527161,37.4771275184923
18,35,1168010300112270000,"(2017,11)",127.0472524804765,37.47615137089075
19,36,1168010300112180016,"(2017,12)",127.0494422903878,37.47690854631867
20,38,1168010300111700002,"(2019,4)",127.0509143858701,37.47313406245836
21,42,1168010300112640011,"(2017,9)",127.0483765252997,37.48032942751607
22,44,1168010300112650011,"(2016,7)",127.0484083620742,37.48062355868751
23,45,1168010300112090017,"(2019,10)",127.0505524329648,37.47857212183282
24,47,1168010300111770002,"(2019,6)",127.0530044345119,37.47438730543652
25,48,1168010300111790009,"(2019,7)",127.0532531474294,37.47487470235324
26,50,1168010300111730012,"(2016,6)",127.0517428067658,37.47349543441805
27,51,1168010300101700022,"(2016,8)",127.0606474642529,37.48375813967417
28,52,1168010300101700021,"(2015,8)",127.0607286580361,37.48382082569518
29,53,1168010300101680000,"(2015,10)",127.0599042462803,37.48372679450306
30,55,1168010500100460009,"(2019,3)",127.0487129634781,37.51265714659137
31,56,1168010500100420006,"(2017,3)",127.0475803778444,37.51236624222809
32,57,1168010500100460019,"(2015,7)",127.0487142378451,37.512816303953
33,58,1168010500100600002,"(2018,1)",127.0544709531034,37.51804499837612
34,59,1168010500100620017,"(2018,5)",127.0541745764705,37.51704066977975
35,60,1168010500100620015,"(2017,6)",127.0538851131293,37.51675183061903
36,61,1168010500100620011,"(2018,12)",127.0540181579589,37.51720167289415
37,62,1168010500100690017,"(2019,2)",127.052858236229,37.51515827966772
38,63,1168010500100630023,"(2019,9)",127.0538668491001,37.51783963320567
39,64,1168010500100670014,"(2016,7)",127.0534177306545,37.51660949909807
40,65,1168010500100680015,"(2015,7)",127.05332639361,37.51565403970128
41,66,1168010500100680011,"(2015,10)",127.0530068599684,37.51608209110696
42,67,1168010500100620000,"(2017,3)",127.0543563081439,37.51757143082243
43,68,1168010500100630002,"(2017,12)",127.0541679314139,37.51770007143673
44,70,1168010500100910004,"(2019,5)",127.0601785804724,37.51606844141551
