,pnu,st_asewkt
0,1168010400101230050,SRID=4326;POINT(127.050620163592 37.5255699386887)
1,1168010400101230051,SRID=4326;POINT(127.050808296504 37.5256284282463)
2,1168010400101230053,SRID=4326;POINT(127.050746650318 37.52554675025)
3,1168010400101240000,SRID=4326;POINT(127.049059622232 37.5251179384245)
4,1168010400101240001,SRID=4326;POINT(127.049244497335 37.5250615080948)
5,1168010400101240003,SRID=4326;POINT(127.048940973792 37.5247500013971)
6,1168010400101240004,SRID=4326;POINT(127.049168629787 37.5247969712343)
7,1168010400101240005,SRID=4326;POINT(127.049370542826 37.524823144497)
8,1168010400101240006,SRID=4326;POINT(127.049526442277 37.5248430258074)
9,1168010400101240007,SRID=4326;POINT(127.049682346596 37.5248621051945)
10,1168010400101240008,SRID=4326;POINT(127.049861190708 37.5248841500842)
11,1168010400101240011,SRID=4326;POINT(127.049823613428 37.5250241449576)
12,1168010400101240012,SRID=4326;POINT(127.049764978466 37.5251463053974)
13,1168010400101240013,SRID=4326;POINT(127.050105256039 37.5252354199762)
14,1168010400101240014,SRID=4326;POINT(127.050266387872 37.5252718330132)
15,1168010400101240015,SRID=4326;POINT(127.05049431556 37.5253041690131)
16,1168010400101240016,SRID=4326;POINT(127.050444772933 37.5252238837)
17,1168010400101240017,SRID=4326;POINT(127.050353036085 37.5251610482202)
18,1168010400101240018,SRID=4326;POINT(127.050204155277 37.525060776561)
19,1168010400101240019,SRID=4326;POINT(127.050075460559 37.5249110059566)
20,1168010400101250000,SRID=4326;POINT(127.050860443331 37.5252734440436)
21,1168010400101250001,SRID=4326;POINT(127.051118900316 37.5253101009696)
22,1168010400101250004,SRID=4326;POINT(127.051604047553 37.5253722867125)
23,1168010400101250006,SRID=4326;POINT(127.05178416283 37.525393924826)
24,1168010400101250007,SRID=4326;POINT(127.052221946579 37.5254501178387)
25,1168010400101250008,SRID=4326;POINT(127.052383219526 37.5254709130854)
26,1168010400101250009,SRID=4326;POINT(127.052543228121 37.5255450040401)
27,1168010400101250010,SRID=4326;POINT(127.052568519072 37.5254214126884)
28,1168010400101250011,SRID=4326;POINT(127.052553416198 37.5252913101389)
29,1168010400101250012,SRID=4326;POINT(127.052625264795 37.5251555048325)
30,1168010400101250013,SRID=4326;POINT(127.052492216987 37.5251386111678)
31,1168010400101250014,SRID=4326;POINT(127.052372042588 37.525195527492)
32,1168010400101250016,SRID=4326;POINT(127.051990560943 37.5251477568465)
33,1168010400101250017,SRID=4326;POINT(127.051602168293 37.5250996350331)
34,1168010400101250018,SRID=4326;POINT(127.051314639023 37.5251626653707)
35,1168010400101250019,SRID=4326;POINT(127.050924682769 37.5250109228819)
36,1168010400101250020,SRID=4326;POINT(127.050635529642 37.5251212379836)
37,1168010400101250022,SRID=4326;POINT(127.05037300641 37.5248659677362)
38,1168010400101250023,SRID=4326;POINT(127.050634385314 37.5249521234508)
39,1168010400101250024,SRID=4326;POINT(127.052014697256 37.5254238419953)
40,1168010400101260001,SRID=4326;POINT(127.051535534307 37.5261019492936)
41,1168010400101260002,SRID=4326;POINT(127.051672600141 37.5259949156951)
42,1168010400101260003,SRID=4326;POINT(127.051444006258 37.5259803787565)
43,1168010400101260004,SRID=4326;POINT(127.051274095576 37.5258223777305)
44,1168010400101260005,SRID=4326;POINT(127.051118753761 37.5256976137854)
45,1168010400101260006,SRID=4326;POINT(127.050998493787 37.5255599851323)
46,1168010400101260007,SRID=4326;POINT(127.051152327881 37.5255862139923)
47,1168010400101260008,SRID=4326;POINT(127.0513215321 37.5256484776798)
48,1168010400101260009,SRID=4326;POINT(127.051404743977 37.525774060938)
49,1168010400101260010,SRID=4326;POINT(127.051516125973 37.5256451493808)
50,1168010400101260011,SRID=4326;POINT(127.051643677716 37.5256589176017)
51,1168010400101260012,SRID=4326;POINT(127.051527486542 37.525767237054)
52,1168010400101260013,SRID=4326;POINT(127.051509723905 37.52585843604)
53,1168010400101260014,SRID=4326;POINT(127.051688906918 37.5258843824299)
54,1168010400101260015,SRID=4326;POINT(127.051705450366 37.5257998804733)
55,1168010400101260018,SRID=4326;POINT(127.051779602242 37.5256795398448)
56,1168010400101270000,SRID=4326;POINT(127.051677607639 37.5262664534306)
57,1168010400101270001,SRID=4326;POINT(127.051822142073 37.5261816691088)
58,1168010400101270002,SRID=4326;POINT(127.051925676356 37.526065419804)
59,1168010400101270003,SRID=4326;POINT(127.05194568453 37.5259022732924)
60,1168010400101270004,SRID=4326;POINT(127.051976225325 37.5257260414002)
61,1168010400101270005,SRID=4326;POINT(127.052125313407 37.5257357882861)
62,1168010400101270006,SRID=4326;POINT(127.05211348223 37.5259042862887)
63,1168010400101270007,SRID=4326;POINT(127.052099713304 37.5260541909999)
64,1168010400101270008,SRID=4326;POINT(127.052058771757 37.5261929034745)
65,1168010400101270009,SRID=4326;POINT(127.051913932599 37.5262905280541)
66,1168010400101270010,SRID=4326;POINT(127.051778254006 37.5263783416288)
67,1168010400101270011,SRID=4326;POINT(127.052117868129 37.5261220437392)
